cluster_id,representative_llm,representative_llm_free,representative,total_count,members
94,NATIVE_TO_LOCATION,NATIVE_OF,IS_A_NATIVE_OF,2,2
92,BENEFITS_ACCESSIBILITY,ACCESSIBILITY_DIFFERENCE,BENEFITS_ACCESSIBILITY,2,2
64,IS_OPENED_AND_CLOSED_AS_REQUIRED,COMPETITION_STATUS,HAD_COMPETITION_OPEN,2,2
80,REPLANTED_EVERY_FOUR_OR_FIVE_YEARS_BY_DIVIDING_ROOTS_AND_REPLANTING_IN_BEDS,PROPAGATION_METHOD,TAKES_TIME_TO_BECOME_FERTILE_AND_EASY_TO_CULTIVATE,2,2
142,EDGE_WITH,EDGE_CREATION,EDGE_WITH,2,2
46,PEOPLE_RELATIONSHIP_WORK_ALLOCATION,PEOPLE_RELATIONSHIP_ECONOMIC_ACTIVITY,PEOPLE_RELATIONSHIP_WORK_ALLOCATION,2,2
44,RECEIVES_HOEING,RECEIVER_OF,RECIPIENT_OF,2,2
95,COLLAR_SUNK_INTO_GROUND,COLLAR_POSITION,COLLAR_SUNK_INTO_GROUND,2,1
132,LETTUCE_VARIETY_IS_RELATED_TO,LETTUCE_TYPE_RELATIONSHIP,LETTUCE_VARIETY_IS_RELATED_TO,2,2
26,ASSOCIATED_WITH_INSTITUTION_OR_WORKER,ASSOCIATED_WITH_ORGANIZATION_OR_PERSONNEL,HANDLED_BY_SPECIFIC_GROUP_OF_PEOPLE,2,2
102,BEGINS_AT_MONTH_OF,MONTHLY_OCCURRENCE,COIFFES_IN_MONTH,2,2
15,EXTRACTED_FROM_ECONOMICS_DATA,RELATED_TO_ECONOMIC_INFORMATION,AS_PARAPHRASED,2,2
24,DEEPENED,RESEARCH_INITIATION,DEEPENED,2,2
105,THINNING_METHOD,THINNING_METHOD_OR_TOOL,THINNING_METHOD,2,2
109,DIFFERENT_PLANTING_METHOD,PLANTING_OR_HARVESTING_METHOD,SEED_HARVESTING_METHOD,2,2
110,JUNE_ASSOCIATED_EVENT,SEASONAL_ASSOCIATION,JUNE_ASSOCIATED_EVENT,2,2
113,BELL_MARKED_AT,BELL_RELATED_INFO,BELL_MARKED_AT,2,2
117,PICKED_BEFORE_RIPENING_ON_VINE,BEFORE_RIPENING_ON_VINE,LONG_BEFORE_RIPENING_ON_VINE,2,2
118,BEARS_FRUIT_IN,BEARS_FOOD_IN,BEARS_FRUIT_IN,2,2
144,HAS_COSTLY_FEEDING_PRACTICE,HAS_COSTLY_ASPECT,HAS_COSTLY_FEEDING_PRACTICE,2,1
7,MOVES_BACK_TO_ACCOMMODATE_NEW_BUILDINGS,REPOSITIONS_OBJECTS,PLANT_RETRANSPORTED_TO_BOARD,2,2
153,PERSIL_IS_SUBTYPE_OF,IS_SUBTYPE_OF,PERSIL_IS_SUBTYPE_OF,1,1
154,EXPOSURE_INFLUENCE_ON_GROWTH,EXPOSURE_EFFECT_ON_DEVELOPMENT,EXPOSURE_INFLUENCE_ON_GROWTH,1,1
155,SPECIFIC_TO_REGION,REGION_SPECIFIC,SPECIFIC_TO_REGION,1,1
156,REGENERATED_AT,REGENERATION_TIME,REGENERATED_AT,1,1
157,CAN_STILL_BE_PLANTED,PLANTABILITY_STATUS,CAN_STILL_BE_PLANTED,1,1
158,TRANSLANTED_TWICE,DUPLICATE_TRANSLATION,TRANSLANTED_TWICE,1,1
159,CABBAGE_POMMENT_AGE,CABBAGE_HARVESTING_AGE,CABBAGE_POMMENT_AGE,1,1
112,AFFECTED_BY_POLICE_BAN,AFFECTED_BY_AUTHORITY_ACTION,AFFECTED_BY_POLICE_BAN,1,1
115,ASSOCIATED_WITH_GARDENS_IN_PARIS,LOCATED_IN_PARIS,ASSOCIATED_WITH_GARDENS_IN_PARIS,1,1
106,NEEDS_TO_BE_REMOVED_FROM_CLOCHES_WHEN_SUN_APPEARS,REQUIRES_SPECIFIC_CONDITIONS,NEEDS_TO_BE_REMOVED_FROM_CLOCHES_WHEN_SUN_APPEARS,1,1
107,CAN_BE_FORCED_IN_NOVEMBER_WITH_16_CM_COMPOST_LAYER_AND_CLOVER,CONDITIONS_FOR_SUCCESSFUL_OVERWINTERING,CAN_BE_FORCED_IN_NOVEMBER_WITH_16_CM_COMPOST_LAYER_AND_CLOVER,1,1
108,OPTIONALLY_ADDED,OPTIONAL_RELATIONSHIP,OPTIONALLY_ADDED,1,1
111,LATHS_COMBINED_WITH_STRAW_AND_WICKER_TO_CONSTRUCT_WINDBREAKS,CONSTRUCTING_WINDBREAKS,LATHS_COMBINED_WITH_STRAW_AND_WICKER_TO_CONSTRUCT_WINDBREAKS,1,1
121,BOUND_FOR_BLANCHING,BLANCHING_PURPOSE,BOUND_FOR_BLANCHING,1,1
123,FOUNDED_PRIZE,AWARDED_PRIZE,FOUNDED_PRIZE,1,1
125,STEAM_CONTAINS_SOMETHING_HARMFUL,CONTAIN_HARMFUL_SUBSTANCE,STEAM_CONTAINS_SOMETHING_HARMFUL,1,1
126,DOES_NOT_NEED_TRANSPLANTING_DUE_TO_SOIL_CONDITION,SOIL_CONDITION_REQUIRES_NO_TRANSPLANTING,DOES_NOT_NEED_TRANSPLANTING_DUE_TO_SOIL_CONDITION,1,1
127,MORE_SUCCESSFUL_IN_OCTOBER_THAN_SPRING,MONTHLY_COMPARISON_OF_SUCCESS,MORE_SUCCESSFUL_IN_OCTOBER_THAN_SPRING,1,1
96,LACKS_INHERENT_QUALITY_OF,DEFICIENCY_RELATIONSHIP,LACKS_INHERENT_QUALITY_OF,1,1
97,GROWTH_RATE_COMPARISON,GROWTH_RATE_RELATIONSHIP,GROWTH_RATE_COMPARISON,1,1
98,YIELDS_IN,YIELDS_IN,YIELDS_IN,1,1
99,DESTROYED_IF_NOT_SPARRED_FOR_SEED,SEEDING_RELATED_DESTRUCTION,DESTROYED_IF_NOT_SPARRED_FOR_SEED,1,1
100,IS_A,HYPERNYM_OF,IS_A,1,1
103,RARELY_MARRY_OUTSIDE_OF,INTERMARRIAGE_RATE,RARELY_MARRY_OUTSIDE_OF,1,1
129,PRODUCE_LARGE_ROOTS_IN_THE_WINTER,GROW_IN_WINTER,PRODUCE_LARGE_ROOTS_IN_THE_WINTER,1,1
131,FIX,FINANCIAL_EXCHANGE,FIX,1,1
88,HAIR_FAVORABLE_FOR_GROWTH_IN,HAIR_CONDUCIVE_TO_GROWTH,HAIR_FAVORABLE_FOR_GROWTH_IN,1,1
89,RENEWED_APPEAL,APPEAL_RENEWAL,RENEWED_APPEAL,1,1
91,ESTABLISHED_IN,FOUNDING_DATE,ESTABLISHED_IN,1,1
82,SECOND_PLANTING_STUNTS_GROWTH,HINDERS_PLANT_DEVELOPMENT,SECOND_PLANTING_STUNTS_GROWTH,1,1
86,IS_A_MEMBER_OF,MEMBERSHIP_RELATIONSHIP,IS_A_MEMBER_OF,1,1
87,GEUREA_FAMILY_CONTAINS,FAMILY_RELATIONSHIP,GEUREA_FAMILY_CONTAINS,1,1
137,EXCELLENT_QUALITY,HIGH_QUALITY,EXCELLENT_QUALITY,1,1
138,RELIGIOUS_CEREMONY_ATTENDED_BY,ATTENDEE_OF_RELIGIOUS_EVENT,RELIGIOUS_CEREMONY_ATTENDED_BY,1,1
143,AIMED_AT_PRODUCING_MANUAL_FOR,AIMED_AT_PRODUCING_RESOURCE_FOR,AIMED_AT_PRODUCING_MANUAL_FOR,1,1
72,MARKET_GARDENERS_WORKER_CLASS_IS_VERY_PEACEFUL,MARKET_GARDENER_SOCIOECONOMIC_STATUS,MARKET_GARDENERS_WORKER_CLASS_IS_VERY_PEACEFUL,1,1
77,TRENCH_BEDDED_WITH,BEDDED_WITHIN,TRENCH_BEDDED_WITH,1,1
49,PEST_FEAR_HEAT,FEAR_OF_PESTS,PEST_FEAR_HEAT,1,1
55,WHITE_ASPARAGUS_CROP_OF_GREEN_ASPARAGUS,COLOR_VARIETY_OF_ASPARAGUS,WHITE_ASPARAGUS_CROP_OF_GREEN_ASPARAGUS,1,1
43,STAKES_USED_TO_SUPPORT_STRUCTURES_IN_MARSHY_AREA,PILES_IN_WETLANDS,STAKES_USED_TO_SUPPORT_STRUCTURES_IN_MARSHY_AREA,1,1
146,LETTUCE_NEVER_REPLACED,LETTUCE_NEVER_REPLACED,LETTUCE_NEVER_REPLACED,1,1
147,EXTENDS_INTO_PATHS,EXTENSION_RELATIONSHIP,EXTENDS_INTO_PATHS,1,1
148,WATERCRESS_SORREL_RELATED_TO,RELATED_TO_GREENS,WATERCRESS_SORREL_RELATED_TO,1,1
151,COMPLETELY_MILLED_TO_BLEACH,MILLED_TO_BLEACH,COMPLETELY_MILLED_TO_BLEACH,1,1
